recommendations for user 4455:
  9806: 0.3126
  862: 0.2948
  557: 0.2805
  36657: 0.2667
  36658: 0.2515
recommendations for user 764:
  1892: 0.3063
  36658: 0.2950
  187: 0.2445
  8587: 0.2339
  414: 0.1974
recommendations for user 5063:
  141: 0.2176
  9741: 0.1595
  641: 0.1448
  194: 0.1291
  2164: 0.0864
recommendations for user 4925:
  1894: 0.3037
  10020: 0.2490
  601: 0.2440
  280: 0.2287
  120: 0.2158
recommendations for user 2797:
  187: 0.2491
  63: 0.2098
  745: 0.1795
  597: 0.1695
  424: 0.1610
