recommendations for user 4455:
  604: 0.1272
  629: 0.1099
  603: 0.1028
  77: 0.0943
  9741: 0.0860
recommendations for user 764:
  36658: 0.0805
  424: 0.0697
  857: 0.0630
  272: 0.0578
  180: 0.0524
recommendations for user 5063:
  641: 0.1044
  141: 0.0954
  194: 0.0563
  9741: 0.0163
  2164: -0.1226
recommendations for user 4925:
  10020: 0.2163
  640: 0.1266
  280: 0.1061
  13: 0.0961
  424: 0.0692
recommendations for user 2797:
  745: 0.1174
  424: 0.0867
  187: 0.0810
  597: 0.0713
  2024: 0.0461
